INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,,,,,Occur_Time,Time_of_Day,0:00,6:00
211362505,3/21/2020,23:57:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,998138,193910,40.69891225,-73.94991584,POINT (-73.94991584399997 40.69891224500003),,,,,23:57,Evening,12:00,18:00
211671833,4/1/2020,21:40:00,BRONX,44,0,,TRUE,45-64,M,WHITE HISPANIC,45-64,M,BLACK,1008846,245939,40.84169493,-73.91110819,POINT (-73.91110819299996 40.84169493300004),,,,,21:40,Evening,,
214690556,6/26/2020,0:30:00,MANHATTAN,13,0,,TRUE,25-44,M,BLACK,18-24,M,WHITE HISPANIC,987583,210248,40.74376639,-73.98797325,POINT (-73.98797324599997 40.74376638800004),,,,,0:30,Pre-Dawn Morning,,
214694696,6/27/2020,23:45:00,BRONX,44,0,,FALSE,,,,25-44,M,BLACK,1007952,241445,40.82936265,-73.91435511,POINT (-73.91435510699995 40.829362650000064),,,,,23:45,Evening,,
213724267,5/31/2020,18:49:00,QUEENS,105,0,,FALSE,,,,18-24,M,BLACK,1050349,182034,40.66607949,-73.76173946,POINT (-73.76173945899995 40.666079489000026),,,,,18:49,Evening,,
213187661,5/17/2020,3:09:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,997741,177573,40.65407148,-73.95138028,POINT (-73.95138028299993 40.65407147900004),,,,,3:09,Pre-Dawn Morning,,
213724261,5/31/2020,0:14:00,BROOKLYN,67,0,PVT HOUSE,FALSE,,,,18-24,M,BLACK,997366,172348,40.63973055,-73.95274193,POINT (-73.95274192999995 40.63973054600007),,,,,0:14,Pre-Dawn Morning,,
214778538,6/30/2020,21:00:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK,1008676,178766,40.65732259,-73.91196657,POINT (-73.91196656999995 40.65732259300006),,,,,21:00,Evening,,
210721533,3/9/2020,9:15:00,BROOKLYN,75,0,,TRUE,45-64,M,BLACK,25-44,F,BLACK,1017081,174596,40.64584969,-73.88169405,POINT (-73.88169405099995 40.64584968500003),,,,,9:15,Morning,,
214690556,6/26/2020,0:30:00,MANHATTAN,13,0,,FALSE,25-44,M,BLACK,18-24,M,WHITE HISPANIC,987583,210248,40.74376639,-73.98797325,POINT (-73.98797324599997 40.74376638800004),,,,,0:30,Pre-Dawn Morning,,
214431183,6/20/2020,4:55:00,BRONX,48,0,MULTI DWELL - APT BUILD,FALSE,,,,18-24,F,BLACK,1015742,247472,40.84588067,-73.88617794,POINT (-73.88617794499999 40.84588066600003),,,,,4:55,Pre-Dawn Morning,,
214562241,6/24/2020,3:25:00,QUEENS,113,0,GROCERY/BODEGA,FALSE,25-44,M,BLACK,25-44,M,BLACK,1044671,188114,40.68280824,-73.78215192,POINT (-73.78215191799995 40.68280824200008),,,,,3:25,Pre-Dawn Morning,,
210757630,3/9/2020,21:53:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1009945,244103,40.83665252,-73.90714329,POINT (-73.90714329499997 40.83665251900004),,,,,21:53,Evening,,
208008880,1/14/2020,16:57:00,QUEENS,102,0,,FALSE,,,,25-44,M,BLACK,1025457,192749,40.69564054,-73.85139999,POINT (-73.85139999399996 40.69564053500005),,,,,16:57,Afternoon,,
206931578,1/5/2020,2:20:00,MANHATTAN,34,0,,FALSE,,,,18-24,M,BLACK,1006165,253314,40.86194418,-73.92077358,POINT (-73.92077357599999 40.861944175000076),,,,,2:20,Pre-Dawn Morning,,
211066099,3/15/2020,12:54:00,BRONX,42,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1009516,239520,40.82407474,-73.9087109,POINT (-73.90871090099995 40.82407474000007),,,,,12:54,Afternoon,,
214312113,6/17/2020,19:35:00,BROOKLYN,75,0,,FALSE,,,,25-44,M,BLACK,1012586,185459,40.67568173,-73.89784624,POINT (-73.89784623999998 40.675681731000054),,,,,19:35,Evening,,
212640102,5/2/2020,15:18:00,BRONX,49,0,,TRUE,,,,25-44,M,WHITE HISPANIC,1021469,254216,40.86436864,-73.86544108,POINT (-73.86544107799995 40.86436863500006),,,,,15:18,Afternoon,,
210827321,3/10/2020,2:20:00,BRONX,40,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,1007956,233989,40.80889802,-73.91436699,POINT (-73.91436698999996 40.80889802400003),,,,,2:20,Pre-Dawn Morning,,
206909435,1/2/2020,21:12:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,989418,192713,40.69563615,-73.98136452,POINT (-73.98136451699997 40.69563614600003),,,,,21:12,Evening,,
213291457,5/20/2020,2:25:00,MANHATTAN,25,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1002329,231921,40.80323524,-73.93469927,POINT (-73.93469926599994 40.80323524100004),,,,,2:25,Pre-Dawn Morning,,
207572465,1/7/2020,13:30:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK HISPANIC,1053494,161530,40.60977657,-73.75061339,POINT (-73.75061339299998 40.60977656700004),,,,,13:30,Afternoon,,
